[11/28 14:42:31.102]           	file opened
[11/28 14:44:06.141]           [ send ]{"buffer description":{"img nr":0,"is amp":false,"laser nr":0,"measurement_id":0,"processing step":40},"bytes to expect":47692804,"camera settings":{"cam type":0,"cam_h":9200,"cam_mirror_lr":false,"cam_mirror_ud":false,"cam_rotation_angle":0,"cam_timeout_s":3,"cam_w":9216,"f_number":3.200000047683716,"focal_length_mm":87.5,"pixel_size_cam_um":3.200000047683716,"pixel_size_conjugated_plane":1.4700000286102295,"trigger_type":1},"object_data":{"Bauteilnummer_l":2,"buffers_to_return":[{"img nr":0,"is amp":false,"laser nr":0,"measurement_id":0,"processing step":40},{"img nr":0,"is amp":true,"laser nr":0,"measurement_id":0,"processing step":40}],"detect_in_focus_settings":{"binning_factor":64,"radius_smooth":2,"threshold_object_mask":0.3,"use_for_global_reference":false,"use_for_offset_combination":false},"dispersion_settings":{"do_dispersion_correction_xy":false,"do_dispersion_correction_z":false,"thickness_BS_mm":0,"type_of_glass_BS":0},"display phase":true,"display_mode":1,"extended_depth_settings":{"extended_depth_active":false,"extended_depth_auto_tilt_estimation":false,"extended_depth_cad_load_model":false,"extended_depth_center_ROI_to_refpoint":true,"extended_depth_center_x":1005,"extended_depth_center_y":1826,"extended_depth_depthrange":1,"extended_depth_display_diff_with_cad":false,"extended_depth_interpolate_multiplane":false,"extended_depth_method":0,"extended_depth_multiplane_propagation":true,"extended_depth_num_propagation_distances":1,"extended_depth_prop_planes_selection_method":0,"extended_depth_tilt_x_deg":0,"extended_depth_tilt_y_deg":0,"filter_radius_SFF":2,"num_planes_SFF":40,"radius_close_sff_mask":50,"radius_open_sff_mask":16,"smooth_SFF_with_synth":false,"threshold_SFF":0.75},"function_id":100,"geometrical corrections":{"apply_aperture_correction":false,"apply_sensitivity":false,"gradual_aperture_correction":false,"radius_mirror_filter":1,"threshold_mirror_filter":0.5},"hardware settings":{"IPM_default_num_buffers":true,"Multi-GPU support":false,"SPS_angles_clickable":false,"activate_tcp":false,"auto_load_background_image":true,"autostart_after_init":false,"cam type":0,"cam_fps":71,"cam_h":9200,"cam_mirror_lr":false,"cam_mirror_ud":false,"cam_timeout_s":3,"cam_w":9216,"circular_FOV":false,"default_num_buffers_for_bump_debug":false,"f_number":3.2,"flag_store_all_diff_images":false,"focal_length_mm":87.5,"hardware_triggered_measurement":false,"num phase steps":1,"num_frame_buffers":4,"num_holded_requests":0,"num_result_buffers":16,"phase_shift_mode":1,"pixel_size_cam_um":1,"pixel_size_conjugated_plane":1.47,"sim_tiff_path":"D:\\Messungen\\2023-11-15_cybertec-Spiegel+Dunkel\\231115\\Flat\\mirror_2023-11-15_12_32_20.391_raw.tiff","trigger_type":1},"hardware_data_obj":{"auto_expsoure":false,"auto_external_voltage":false,"eom_amplitude":101,"eom_offset":0,"exposure_ms":5,"fiber_delay_ms":10,"height_result_image":3450,"max_allowed_exposure_ms":150,"min_allowed_exposure_ms":0.1,"piezo_amplitude":5.6,"piezo_delay":0.12,"piezo_voltage_scale_positive":1,"pixel_size_propagiert_mm":0.003920000076293945,"synth_lambda_max_mm":1.3193560298532248,"synth_lambda_min_mm":0.29308580571011883,"target_brightness":15000,"threshold_amplitude":0,"width_result_image":3456},"height_conversion_settings":{"convert_to_height_unit":3,"do_transpose":false,"revert_untilt":false,"rotation_type":0},"holography_settings":{"activate_higher_order_polynomial":false,"apply_dark_image":true,"apply_led_mask":false,"auto_downsampling_SPS":true,"auto_tilt_method":3,"dark_without_object":false,"darkimage_low_pass_ratio_for_mirror_x":0.14,"darkimage_low_pass_ratio_for_mirror_y":0.14,"filter radius":5,"filter type":1,"filter_average_round_kernel":false,"filter_before_propagation":false,"key_filter_scale_rough_signal":2,"korrekturfaktor Pixelgroesse":1,"led_mask_image_index":0,"mask overexposed":true,"mask_circular_SPS":true,"median filter radius":2,"minimum modulation":1,"normalize_brightness":true,"phase_shifts_multi_roi":false,"propagation_method":1,"propagation_mm":0,"refractive_power_virtual_lens":0,"remove outliers":true,"rotate image":false,"set_dark_image":false,"threshold finer signal error":0.5,"threshold_amplitude":0,"threshold_amplitude_synth":0,"threshold_led_mask":0,"tilt_each_synth_individ":true,"tilt_lowpass_before":false,"tilt_mirror_only":false,"tilt_second_order":0,"tilt_second_order_xy":0,"tilt_x":1.0352163776082711e-08,"tilt_y":2.0740333458651668e-08,"use_tilt_compensated_filter":false,"virt_lens_method":1},"image display number":1,"load_instead_of":0,"noise_reduction_settings":{"key_noise_detection_cutoff":1.57,"key_noise_detection_filter_radius":3,"key_noise_detection_method":0,"key_noise_detection_order":3},"output mode":40,"pause_mode":false,"raw_quality_thresholds":{"current_num_repeats":0,"flag_deviation_phase_steps_as_criterion":false,"flag_modulation_as_criterion":false,"flag_sigma_grayvals_as_criterion":false,"flag_smoothness_as_criterion":false,"flag_snr_fft_steps_as_criterion":false,"max_num_repeats":0,"modulation_reference_method":0,"rel_threshold_deviation_phasesteps":0.4,"rel_threshold_variation_grayvals":7,"smoothness_reference_method":0,"threshold_snr_fft":1.2,"threshold_variation_modulation":1,"threshold_variation_smootheness":1,"variation_reference_method":1},"reference_combination_settings":{"h_reference_point_roi":32,"mirror_only_for_reference":false,"phase_value_reference_point":0,"reference_point_offset_combination_method":2,"reference_point_offset_result_method":4,"w_reference_point_roi":32,"x_center_roi_reference_point":1005,"y_center_roi_reference_point":1826},"reference_offset_result_settings":{"h_reference_point_roi":32,"mirror_only_for_reference":false,"phase_value_reference_point":0,"reference_point_offset_combination_method":2,"reference_point_offset_result_method":4,"w_reference_point_roi":32,"x_center_roi_reference_point":1005,"y_center_roi_reference_point":1826},"result_image_selections":{"auto-generate_images_last_step":true,"combined (amp)":true,"combined (phase)":true,"converted_to_height":false,"converted_to_height (amp)":false,"focus measure":false,"mirror mask":false},"ring_mask_settings":{"ring_center_follows_ref":true,"ring_mask_center_x":1005,"ring_mask_center_y":1826,"ring_mask_set_active":false,"ring_radius":300,"ring_val_to_multiply":0.0001,"ring_width":0},"signal-quality-indicators":{"SNR (SPS) in valid range 0":1,"SNR (SPS) in valid range 1":1,"SNR (SPS) in valid range 2":1,"SNR (SPS) in valid range 3":1,"count_over_exposed 0":0,"count_over_exposed 1":0,"count_over_exposed 2":0,"count_over_exposed 3":0,"mean_brightness 0":12873.638671875,"mean_brightness 1":12873.638671875,"mean_brightness 2":12212.119140625,"mean_brightness 3":12212.119140625,"median_brightness 0":12276,"median_brightness 1":12276,"median_brightness 2":11764,"median_brightness 3":11764,"snr fft 0":1.642062783241272,"snr fft 1":2.2032411098480225,"snr fft 2":1.910434365272522,"snr fft 3":1.72270667552948},"single lasers":{"0":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":0.065,"y":0.065},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3438447e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":2},"1":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":-0.065,"y":0.066},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3301431e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":1},"2":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.065,"x":0.065,"y":0.065},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.333182200000001e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":3},"3":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.067,"x":-0.064,"y":0.066},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.3301436e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":1}},"synthetic wavelengths":{"combined_m":0.0013193560298532248,"combo 0":{"laser a":2,"laser b":3,"lda_a_m":6.333182200000001e-07,"lda_b_m":6.3301436e-07,"lda_syn_m":0.0013193560445915063},"combo 1":{"laser a":0,"laser b":1,"lda_a_m":6.3438447e-07,"lda_b_m":6.3301431e-07,"lda_syn_m":0.00029308580571011885}},"tcp_client_to_server_command":1,"wavemeter_settings":{"default_exposure_wavemeter":1,"exposure_wavemeter_laser_at_port_0":5,"exposure_wavemeter_laser_at_port_1":5,"flag_dual_port_switch":true,"max_exposure_wavemeter":4,"save_interference_pattern":false,"use_multichannel_switch":true,"wavelength_tolerance_nm":800}},"single lasers":{"0":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":0.065,"y":0.065},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3438447e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":2},"1":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":-0.065,"y":0.066},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3301431e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":1},"2":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.065,"x":0.065,"y":0.065},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.333182200000002e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":3},"3":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.067,"x":-0.064,"y":0.066},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.3301436e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":1}},"tcp_server_to_client_command":6}
[11/28 14:44:06.177]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending 47692804 bytes (step 40), id: -1"}
[11/28 14:44:06.177]           TcpServer sending 47692804 bytes (step 40), id: -1
[11/28 14:44:06.187]           [ send ]{"buffer description":{"img nr":0,"is amp":true,"laser nr":0,"measurement_id":0,"processing step":40},"bytes to expect":47692804,"camera settings":{"cam type":0,"cam_h":9200,"cam_mirror_lr":false,"cam_mirror_ud":false,"cam_rotation_angle":0,"cam_timeout_s":3,"cam_w":9216,"f_number":3.200000047683716,"focal_length_mm":87.5,"pixel_size_cam_um":3.200000047683716,"pixel_size_conjugated_plane":1.4700000286102295,"trigger_type":1},"object_data":{"Bauteilnummer_l":2,"buffers_to_return":[{"img nr":0,"is amp":false,"laser nr":0,"measurement_id":0,"processing step":40},{"img nr":0,"is amp":true,"laser nr":0,"measurement_id":0,"processing step":40}],"detect_in_focus_settings":{"binning_factor":64,"radius_smooth":2,"threshold_object_mask":0.3,"use_for_global_reference":false,"use_for_offset_combination":false},"dispersion_settings":{"do_dispersion_correction_xy":false,"do_dispersion_correction_z":false,"thickness_BS_mm":0,"type_of_glass_BS":0},"display phase":true,"display_mode":1,"extended_depth_settings":{"extended_depth_active":false,"extended_depth_auto_tilt_estimation":false,"extended_depth_cad_load_model":false,"extended_depth_center_ROI_to_refpoint":true,"extended_depth_center_x":1005,"extended_depth_center_y":1826,"extended_depth_depthrange":1,"extended_depth_display_diff_with_cad":false,"extended_depth_interpolate_multiplane":false,"extended_depth_method":0,"extended_depth_multiplane_propagation":true,"extended_depth_num_propagation_distances":1,"extended_depth_prop_planes_selection_method":0,"extended_depth_tilt_x_deg":0,"extended_depth_tilt_y_deg":0,"filter_radius_SFF":2,"num_planes_SFF":40,"radius_close_sff_mask":50,"radius_open_sff_mask":16,"smooth_SFF_with_synth":false,"threshold_SFF":0.75},"function_id":100,"geometrical corrections":{"apply_aperture_correction":false,"apply_sensitivity":false,"gradual_aperture_correction":false,"radius_mirror_filter":1,"threshold_mirror_filter":0.5},"hardware settings":{"IPM_default_num_buffers":true,"Multi-GPU support":false,"SPS_angles_clickable":false,"activate_tcp":false,"auto_load_background_image":true,"autostart_after_init":false,"cam type":0,"cam_fps":71,"cam_h":9200,"cam_mirror_lr":false,"cam_mirror_ud":false,"cam_timeout_s":3,"cam_w":9216,"circular_FOV":false,"default_num_buffers_for_bump_debug":false,"f_number":3.2,"flag_store_all_diff_images":false,"focal_length_mm":87.5,"hardware_triggered_measurement":false,"num phase steps":1,"num_frame_buffers":4,"num_holded_requests":0,"num_result_buffers":16,"phase_shift_mode":1,"pixel_size_cam_um":1,"pixel_size_conjugated_plane":1.47,"sim_tiff_path":"D:\\Messungen\\2023-11-15_cybertec-Spiegel+Dunkel\\231115\\Flat\\mirror_2023-11-15_12_32_20.391_raw.tiff","trigger_type":1},"hardware_data_obj":{"auto_expsoure":false,"auto_external_voltage":false,"eom_amplitude":101,"eom_offset":0,"exposure_ms":5,"fiber_delay_ms":10,"height_result_image":3450,"max_allowed_exposure_ms":150,"min_allowed_exposure_ms":0.1,"piezo_amplitude":5.6,"piezo_delay":0.12,"piezo_voltage_scale_positive":1,"pixel_size_propagiert_mm":0.003920000076293945,"synth_lambda_max_mm":1.3193560298532248,"synth_lambda_min_mm":0.29308580571011883,"target_brightness":15000,"threshold_amplitude":0,"width_result_image":3456},"height_conversion_settings":{"convert_to_height_unit":3,"do_transpose":false,"revert_untilt":false,"rotation_type":0},"holography_settings":{"activate_higher_order_polynomial":false,"apply_dark_image":true,"apply_led_mask":false,"auto_downsampling_SPS":true,"auto_tilt_method":3,"dark_without_object":false,"darkimage_low_pass_ratio_for_mirror_x":0.14,"darkimage_low_pass_ratio_for_mirror_y":0.14,"filter radius":5,"filter type":1,"filter_average_round_kernel":false,"filter_before_propagation":false,"key_filter_scale_rough_signal":2,"korrekturfaktor Pixelgroesse":1,"led_mask_image_index":0,"mask overexposed":true,"mask_circular_SPS":true,"median filter radius":2,"minimum modulation":1,"normalize_brightness":true,"phase_shifts_multi_roi":false,"propagation_method":1,"propagation_mm":0,"refractive_power_virtual_lens":0,"remove outliers":true,"rotate image":false,"set_dark_image":false,"threshold finer signal error":0.5,"threshold_amplitude":0,"threshold_amplitude_synth":0,"threshold_led_mask":0,"tilt_each_synth_individ":true,"tilt_lowpass_before":false,"tilt_mirror_only":false,"tilt_second_order":0,"tilt_second_order_xy":0,"tilt_x":1.0352163776082711e-08,"tilt_y":2.0740333458651668e-08,"use_tilt_compensated_filter":false,"virt_lens_method":1},"image display number":1,"load_instead_of":0,"noise_reduction_settings":{"key_noise_detection_cutoff":1.57,"key_noise_detection_filter_radius":3,"key_noise_detection_method":0,"key_noise_detection_order":3},"output mode":40,"pause_mode":false,"raw_quality_thresholds":{"current_num_repeats":0,"flag_deviation_phase_steps_as_criterion":false,"flag_modulation_as_criterion":false,"flag_sigma_grayvals_as_criterion":false,"flag_smoothness_as_criterion":false,"flag_snr_fft_steps_as_criterion":false,"max_num_repeats":0,"modulation_reference_method":0,"rel_threshold_deviation_phasesteps":0.4,"rel_threshold_variation_grayvals":7,"smoothness_reference_method":0,"threshold_snr_fft":1.2,"threshold_variation_modulation":1,"threshold_variation_smootheness":1,"variation_reference_method":1},"reference_combination_settings":{"h_reference_point_roi":32,"mirror_only_for_reference":false,"phase_value_reference_point":0,"reference_point_offset_combination_method":2,"reference_point_offset_result_method":4,"w_reference_point_roi":32,"x_center_roi_reference_point":1005,"y_center_roi_reference_point":1826},"reference_offset_result_settings":{"h_reference_point_roi":32,"mirror_only_for_reference":false,"phase_value_reference_point":0,"reference_point_offset_combination_method":2,"reference_point_offset_result_method":4,"w_reference_point_roi":32,"x_center_roi_reference_point":1005,"y_center_roi_reference_point":1826},"result_image_selections":{"auto-generate_images_last_step":true,"combined (amp)":true,"combined (phase)":true,"converted_to_height":false,"converted_to_height (amp)":false,"focus measure":false,"mirror mask":false},"ring_mask_settings":{"ring_center_follows_ref":true,"ring_mask_center_x":1005,"ring_mask_center_y":1826,"ring_mask_set_active":false,"ring_radius":300,"ring_val_to_multiply":0.0001,"ring_width":0},"signal-quality-indicators":{"SNR (SPS) in valid range 0":1,"SNR (SPS) in valid range 1":1,"SNR (SPS) in valid range 2":1,"SNR (SPS) in valid range 3":1,"count_over_exposed 0":0,"count_over_exposed 1":0,"count_over_exposed 2":0,"count_over_exposed 3":0,"mean_brightness 0":12873.638671875,"mean_brightness 1":12873.638671875,"mean_brightness 2":12212.119140625,"mean_brightness 3":12212.119140625,"median_brightness 0":12276,"median_brightness 1":12276,"median_brightness 2":11764,"median_brightness 3":11764,"snr fft 0":1.642062783241272,"snr fft 1":2.2032411098480225,"snr fft 2":1.910434365272522,"snr fft 3":1.72270667552948},"single lasers":{"0":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":0.065,"y":0.065},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3438447e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":2},"1":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":-0.065,"y":0.066},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3301431e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":1},"2":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.065,"x":0.065,"y":0.065},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.333182200000001e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":3},"3":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.067,"x":-0.064,"y":0.066},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.3301436e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":1}},"synthetic wavelengths":{"combined_m":0.0013193560298532248,"combo 0":{"laser a":2,"laser b":3,"lda_a_m":6.333182200000001e-07,"lda_b_m":6.3301436e-07,"lda_syn_m":0.0013193560445915063},"combo 1":{"laser a":0,"laser b":1,"lda_a_m":6.3438447e-07,"lda_b_m":6.3301431e-07,"lda_syn_m":0.00029308580571011885}},"tcp_client_to_server_command":1,"wavemeter_settings":{"default_exposure_wavemeter":1,"exposure_wavemeter_laser_at_port_0":5,"exposure_wavemeter_laser_at_port_1":5,"flag_dual_port_switch":true,"max_exposure_wavemeter":4,"save_interference_pattern":false,"use_multichannel_switch":true,"wavelength_tolerance_nm":800}},"single lasers":{"0":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":0.065,"y":0.065},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3438447e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":2},"1":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.064,"x":-0.065,"y":0.066},"SPS_raw_image_index":0,"connected_to_attenuator":false,"lda_m":6.3301431e-07,"num phase steps":1,"port":1,"rel exposure":1,"trigger_bitmask":1,"wavemeter_port":1},"2":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.065,"x":0.065,"y":0.065},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.333182200000002e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":3},"3":{"Ext. Voltage":0,"SPS_angles":{"height_y":0.064,"width_x":0.067,"x":-0.064,"y":0.066},"SPS_raw_image_index":1,"connected_to_attenuator":false,"lda_m":6.3301436e-07,"num phase steps":1,"port":2,"rel exposure":0.68,"trigger_bitmask":1,"wavemeter_port":1}},"tcp_server_to_client_command":6}
[11/28 14:44:06.208]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending 47692804 bytes (step 40), id: -1"}
[11/28 14:44:06.208]           TcpServer sending 47692804 bytes (step 40), id: -1
[11/28 14:44:06.215]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending function ready: 110, id: -1"}
[11/28 14:44:06.215]           TcpServer sending function ready: 110, id: -1
[11/28 14:44:06.215]           [ send ]{"error_code":0,"function_id":110,"object_data":{},"optional_int":0,"tcp_server_to_client_command":1}
[11/28 14:44:06.216]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"4 frame buffers available: CDAB"}
[11/28 14:44:06.216]           [ send ]{"level":200,"tcp_server_to_client_command":2,"text":"TcpServer sending function ready: 102, id: -1"}
[11/28 14:44:06.216]           TcpServer sending function ready: 102, id: -1
[11/28 14:44:06.217]           [ send ]{"error_code":0,"function_id":102,"object_data":{},"optional_int":4,"tcp_server_to_client_command":1}
[11/28 14:44:06.217]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"15 result buffers available: EFGHIJKLMNOPABC"}
[11/28 14:44:06.217]           [ send ]{"level":207,"tcp_server_to_client_command":2,"text":"16 result buffers available: EFGHIJKLMNOPABCD"}
